lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lr3,rt1,rt2,rt3,time
0.000000, 0.000000, 1.253013, 0.929550, 0.000000, 0.213140, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6056 
0.000000, 0.000000, 1.099444, 0.564599, 0.000000, 0.432907, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6106 
0.000000, 0.000000, 1.220104, 1.465543, 0.000000, 0.203659, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6156 
0.000000, 0.000000, 1.061500, 1.212250, 0.000000, 0.637500, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6206 
0.000000, 0.000000, 1.145545, 0.710856, 0.000000, 0.342248, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6256 
0.000000, 0.000000, 1.238756, 0.960707, 0.000000, 0.262365, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6306 
0.000000, 0.000000, 1.062687, 1.467751, 0.000000, 0.423533, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6356 
0.000000, 0.000000, 1.217640, 0.735988, 0.000000, 0.437352, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6406 
0.000000, 0.000000, 1.043756, 0.612001, 0.000000, 0.204015, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6456 
0.000000, 0.000000, 1.232159, 0.901465, 0.000000, 0.200920, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6506 
0.000000, 0.000000, 1.019767, 1.292234, 0.000000, 0.306711, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6556 
0.000000, 0.000000, 1.246905, 0.622872, 0.000000, 0.396931, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 6606 
